name,url
Kathi Roll Factory,https://swiggy.com/restaurants/kathi-roll-factory-shanti-park-mira-road-mumbai-647671
Raju Pav Bhaji and Chinese,https://swiggy.com/restaurants/raju-pav-bhaji-and-chinese-chincholi-bunder-road-malad-kan-west-mumbai-652144
Shivansh Kitchen,https://swiggy.com/restaurants/shivansh-kitchen-malad-kandivali-west-mumbai-398827
Magic Pancakes,https://swiggy.com/restaurants/magic-pancakes-chikuwadi-borivali-mumbai-628742
Power Smoothies	,https://swiggy.com/restaurants/power-smoothies-link-road-borivali-mumbai-641913
Wafflespoon,https://swiggy.com/restaurants/wafflespoon-mahavir-nagar-mumbai-588664
Bao Bao,https://swiggy.com/restaurants/bao-bao-west-kandivali-mumbai-647610
FB Cafe By Frozen Bottle,https://swiggy.com/restaurants/fb-cafe-by-frozen-bottle-kandivali-east-thakur-village-mumbai-611605
Mrs Pizzeria,https://swiggy.com/restaurants/mrs-pizzeria-bangur-nagar-jog-gor-west-mumbai-613870
Cravings all day,https://swiggy.com/restaurants/cravings-all-day-malad-kan-west-goregaon-west-mumbai-592679
Oh Soy,https://swiggy.com/restaurants/oh-soy-malad-west-mumbai-351152
Mele Babu Ne Thana Thaya Kya,https://swiggy.com/restaurants/mele-babu-ne-thana-thaya-kya-g-d-ward-jog-gor-east-mumbai-644046
GetAWay - Healthy Ice Creams,https://swiggy.com/restaurants/getaway-healthy-ice-creams-kandivali-borivali-mumbai-618226
Falooda Nation,https://swiggy.com/restaurants/falooda-nation-shanti-park-mira-road-mumbai-654065
The Grove Kitchen And Bar,https://swiggy.com/restaurants/the-grove-kitchen-and-bar-mithagar-road-dahisar-mumbai-647682
British Brewing Company,https://swiggy.com/restaurants/british-brewing-company-oberoi-mall-jog-gor-east-mumbai-16028
Cococart,https://swiggy.com/restaurants/cococart-yashodham-jog-gor-east-mumbai-611849
The Nature Bar,https://swiggy.com/restaurants/the-nature-bar-the-nature-bar-jog-gor-east-mumbai-457385
Suraj Lama Momos	,https://swiggy.com/restaurants/suraj-lama-momos-goregaon-jog-gor-east-mumbai-650091
Cheesecakes By CakeZone,https://swiggy.com/restaurants/cheesecakes-by-cakezone-l-t-road-borivali-mumbai-581826
Panda Momos,https://swiggy.com/restaurants/panda-momos-chikuwadi-borivali-mumbai-628736
Green Dot Pizza,https://swiggy.com/restaurants/green-dot-pizza-chikuwadi-borivali-mumbai-628783
Grameen Kulfi,https://swiggy.com/restaurants/grameen-kulfi-housing-society-kandivali-east-mumbai-351115
Siddhi Vinayak Fast Food Corner,https://swiggy.com/restaurants/siddhi-vinayak-fast-food-corner-kandivali-east-malad-kan-east-mumbai-436244
SWEET COUNTY CAKE SHOP,https://swiggy.com/restaurants/sweet-county-cake-shop-kandivali-e-malad-kan-east-mumbai-562111
BURGER NATION,https://swiggy.com/restaurants/burger-nation-green-avenue-mira-road-mumbai-605912
Famous Home Made,https://swiggy.com/restaurants/famous-home-made-opposite-ap-international-school-mira-road-mumbai-576517
Coffee Craft,https://swiggy.com/restaurants/coffee-craft-borivali-west-mumbai-452786
Fanwan,https://swiggy.com/restaurants/fanwan-malad-west-chincholi-bunder-road-mumbai-400311
Papacream,https://swiggy.com/restaurants/papacream-link-road-borivali-mumbai-561662
Royal Challenge,https://swiggy.com/restaurants/royal-challenge-dindoshi-goregaon-mumbai-73077
Momo Guy,https://swiggy.com/restaurants/momo-guy-chikuwadi-borivali-mumbai-628799
SatisFries,https://swiggy.com/restaurants/satisfries-m-h-b-colony-borivali-mumbai-561209
Winners Pizza (Fresh Dough),https://swiggy.com/restaurants/winners-pizza-fresh-dough-ram-mandir-road-borivali-mumbai-628795
Bake & Bite,https://swiggy.com/restaurants/bake-and-bite-borivali-dahisar-mumbai-182435
Moussestruck,https://swiggy.com/restaurants/moussestruck-kandivali-west-mumbai-97881
Su - Swagat,https://swiggy.com/restaurants/su-swagat-malad-kan-east-borivali-mumbai-373960
Apsara Ice Creams,https://swiggy.com/restaurants/apsara-ice-creams-thakur-village-kandivali-east-mumbai-36295
Kathi Roll Company,https://swiggy.com/restaurants/kathi-roll-company-shanti-park-mira-road-mumbai-521907
Kishori Special Falooda,https://swiggy.com/restaurants/kishori-special-falooda-shanti-park-mira-road-mumbai-391947
Grill 'N Smoke Kitchen,https://swiggy.com/restaurants/grill-n-smoke-kitchen-shanti-gardens-rd-mira-road-mumbai-577580
B'Creamy,https://swiggy.com/restaurants/bcreamy-mira-road-poonam-sagar-complex-mumbai-449445
Stacks And Racks,https://swiggy.com/restaurants/stacks-and-racks-malad-borivali-area-malad-kan-west-mumbai-22622
SMP Express,https://swiggy.com/restaurants/smp-express-st-thomas-church-goregaon-east-mumbai-56601
Raju champaran meat house,https://swiggy.com/restaurants/raju-champaran-meat-house-sab-kuchh-hotel-malad-kan-west-mumbai-617046
Baba Falooda,https://swiggy.com/restaurants/baba-falooda-midc-road-mira-road-mumbai-658584
Good Flippin' Burgers,https://swiggy.com/restaurants/good-flippin-burgers-borivali-west-mumbai-555018
SLAY Coffee,https://swiggy.com/restaurants/slay-coffee-charkop-kandivali-charkop-rk-mumbai-195350
Sam Snacks,https://swiggy.com/restaurants/sam-snacks-goregaon-east-malad-east-mumbai-48019
X Factor Vada,https://swiggy.com/restaurants/x-factor-vada-jambali-gali-borivali-mumbai-583748
Jabaz Vada,https://swiggy.com/restaurants/jabaz-vada-pethewadi-annapurna-niwas-borivali-mumbai-583724
Goragandhi Juice Corner & Veg World,https://swiggy.com/restaurants/goragandhi-juice-corner-and-veg-world-goragandhi-apartmen-borivali-west-mumbai-27715
Vada Bite,https://swiggy.com/restaurants/vada-bite-pethewadi-annapurna-niwas-borivali-mumbai-583744
The Juice Junction,https://swiggy.com/restaurants/the-juice-junction-kandivali-west-mahavir-nagar-kandivali-west-mumbai-610591
WELCOME FAST FOOD,https://swiggy.com/restaurants/welcome-fast-food-ashok-nagar-malad-kan-east-mumbai-507793
RADHA RESTAURANT,https://swiggy.com/restaurants/radha-restaurant-borivali-borivali-west-mumbai-316729
Mumbai Fresh Naturals,https://swiggy.com/restaurants/mumbai-fresh-naturals-malad-kan-east-mumbai-446928
Mad Over Donuts,https://swiggy.com/restaurants/mad-over-donuts-growels-mall-kandivali-east-mumbai-45818
MOGO Pizza,https://swiggy.com/restaurants/mogo-pizza-magathane-kandivali-east-mumbai-439427
Kwality Walls Frozen Dessert and Ice Cream Shop,https://swiggy.com/restaurants/kwality-walls-frozen-dessert-and-ice-cream-shop-jivlapada-chs-thakur-village-mumbai-455051
Green Therapy Co.,https://swiggy.com/restaurants/green-therapy-co-evershine-millenium-paradise-malad-kan-east-mumbai-379486
The French Connection,https://swiggy.com/restaurants/the-french-connection-emp-thakur-village-malad-kan-east-mumbai-539979
Sweet Bengal,https://swiggy.com/restaurants/sweet-bengal-thakur-village-kandivali-east-mumbai-9175
Baskin Robbins,https://swiggy.com/restaurants/baskin-robbins-thakur-village-kandivali-east-mumbai-6979
